City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Berbera,SO,85.42,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
1,El Alto,PE,70.27,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
3,Hasaki,JP,72.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
4,Pauini,BR,74.71,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
5,Morant Bay,JM,78.8,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
10,Beni Mazar,EG,76.33,clear sky,28.4962,30.8029,Link Co-Working space & Development center
11,Butaritari,KI,83.34,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Hazorasp,UZ,68.0,clear sky,41.3194,61.0742,Kemping wifi hotel
16,Atuona,PF,80.31,scattered clouds,-9.8,-139.0333,Villa Enata
18,Auki,SB,82.67,broken clouds,-8.7676,160.7034,Auki Motel
19,Busselton,AU,75.99,clear sky,-33.65,115.3333,Observatory Guest House
24,Garissa,KE,80.11,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
26,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Gudur,IN,91.4,haze,14.1333,79.85,BALAJI KITCHENS
29,Port Blair,IN,87.66,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
30,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
31,Waingapu,ID,85.44,few clouds,-9.6567,120.2641,Pondok Wisata Elim
41,Alibag,IN,91.4,smoke,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
43,Biak,ID,83.79,broken clouds,-0.9131,122.8766,Penginapan Kim
44,Samarai,PG,84.34,scattered clouds,-10.6167,150.6667,Nuli Sapi
45,Faanui,PF,80.24,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Kavieng,PG,85.15,few clouds,-2.5744,150.7967,Nusa Island Retreat
51,Sur,OM,90.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
60,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
62,Mbanza-Ngungu,CD,66.43,overcast clouds,-5.25,14.8667,Hotel Full Business
63,Hilo,US,73.4,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
64,Holly Hill,US,75.99,scattered clouds,29.2436,-81.0376,Hilton Daytona Beach Oceanfront Resort
76,Conceicao Do Araguaia,BR,77.0,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
78,San Cristobal,VE,77.0,fog,7.7669,-72.225,Posada Villaven C.A.
84,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
86,Ambilobe,MG,78.12,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
87,Esperance,AU,82.4,scattered clouds,-33.8667,121.9,Hospitality Esperance
89,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Bengkulu,ID,84.47,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Remedios,CU,71.6,few clouds,22.4947,-79.5458,Hostal Yunai
97,Bitung,ID,91.4,scattered clouds,1.4451,125.1824,K2 Lembeh
98,Mount Isa,AU,89.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
100,Harper,LR,79.34,moderate rain,4.375,-7.7169,Screensaver
104,Belmonte,BR,73.4,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
105,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
108,Wanning,CN,86.92,scattered clouds,18.8003,110.3967,Paradise Hotel
109,Nisia Floresta,BR,75.2,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
110,Inongo,CD,70.39,broken clouds,-1.95,18.2667,Hotel Du Lac
111,Arraial Do Cabo,BR,71.89,clear sky,-22.9661,-42.0278,Pousada Porto Praia
112,Saint-Joseph,RE,81.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
115,Georgetown,MY,89.01,scattered clouds,5.4112,100.3354,Cititel Penang
116,Vanimo,PG,77.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
117,Acari,PE,68.74,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
122,Mozarlandia,BR,71.71,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
126,Tabou,CI,78.58,moderate rain,4.423,-7.3528,hotêl doufoulougou
129,Madang,PG,85.28,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
130,Cam Ranh,VN,91.4,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
131,Natal,BR,75.2,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
132,Kudahuvadhoo,MV,83.44,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
133,Mahajanga,MG,80.6,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
134,Katsuura,JP,72.0,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
135,Ambatondrazaka,MG,68.74,overcast clouds,-17.8333,48.4167,MANAMBINA Hotel
137,Touros,BR,73.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
142,Salalah,OM,86.0,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
144,La Asuncion,VE,77.0,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
146,Dingle,PH,89.42,light rain,10.9995,122.6711,SEGAYA PROPERTY
147,Fare,PF,79.34,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
152,Buala,SB,83.98,light rain,-8.145,159.5921,Maringe Lagoon Lodge
154,Havelock,US,66.99,overcast clouds,34.8791,-76.9013,Sherwood Motel
157,Baruun-Urt,MN,65.98,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
158,Lazaro Cardenas,MX,76.01,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
160,Tahta,EG,66.2,clear sky,26.7693,31.5021,El Salam Hotel
162,Saint-Pierre,RE,81.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
163,Santa Marta,CO,82.0,few clouds,11.2408,-74.199,Casa de Isabella
165,Sao Filipe,CV,71.28,few clouds,14.8961,-24.4956,Tortuga B&B
166,Dhidhdhoo,MV,84.33,broken clouds,6.8833,73.1,Dhidhoo beach
169,Kloulklubed,PW,87.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
172,Santa Rosa,PH,91.0,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
173,Cabog,PH,90.18,few clouds,15.3153,121.3703,428 Mercado Beach Resort
175,Bubaque,GW,78.06,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
178,Padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
180,Hithadhoo,MV,83.46,few clouds,-0.6,73.0833,Scoop Guest House
182,Sambhar,IN,87.8,haze,26.9167,75.2,Sambhar Heritage Resort
186,Mandera,KE,80.15,light rain,3.9366,41.867,Kornesh Hotel and Lodging
187,Port Hedland,AU,89.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
188,Xam Nua,LA,85.08,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
189,Ahero,KE,69.8,broken clouds,-0.1746,34.9163,Jesmic Hotel
190,Cabo San Lucas,MX,69.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Pontian Kecil,MY,93.0,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
196,Nizwa,OM,88.52,clear sky,22.9333,57.5333,Orient Apartments
197,Mackay,AU,73.99,overcast clouds,-21.15,149.2,International Lodge Motel
205,Ouesso,CG,68.22,scattered clouds,1.6136,16.0517,Hôtel ABENI
206,Cayenne,GF,79.0,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
207,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
209,Ballina,AU,75.2,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
216,Gasa,PS,70.0,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
217,Guasdualito,VE,77.0,overcast clouds,7.2424,-70.7324,Hotel Cuibas
225,Asosa,ET,70.84,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
227,Shimoda,JP,68.0,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
228,Luwuk,ID,85.84,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
229,Jumla,NP,65.95,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
230,Sidney,AU,69.01,broken clouds,-33.8679,151.2073,The Grace Sydney
232,Les Cayes,HT,74.57,clear sky,18.2,-73.75,Villa Orphee
233,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Mareeba,AU,79.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
235,Gat,IL,68.0,clear sky,31.61,34.7642,OlusHome
241,Meulaboh,ID,85.24,broken clouds,4.1363,96.1285,Kost Pria
242,Poum,NC,77.92,overcast clouds,-20.2333,164.0167,Gîte kajeon
251,Najran,SA,82.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
252,Garowe,SO,80.19,scattered clouds,8.4054,48.4845,Curubo Hotel
253,Male,MV,87.8,few clouds,4.1748,73.5089,Hotel Octave Maldives
255,Catuday,PH,81.3,scattered clouds,16.2923,119.8062,GResort
256,Bandarbeyla,SO,84.36,scattered clouds,9.4942,50.8122,JABIR HOTEL
260,Oranjestad,AW,79.0,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
261,Houma,US,68.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
265,Piuma,BR,68.67,clear sky,-20.8378,-40.7219,Piúma Praia Hotel
269,Coahuayana,MX,71.42,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
274,Dunmore Town,BS,77.32,few clouds,25.5,-76.65,Coral Sands Hotel
