,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Berbera,SO,10.4396,45.0143,85.42,70,79,4.85,light rain
1,El Alto,PE,-4.2714,-81.2147,70.27,73,91,12.71,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,44.6,70,0,5.75,clear sky
3,Hasaki,JP,35.7333,140.8333,72.0,46,75,11.5,broken clouds
4,Pauini,BR,-7.7136,-66.9764,74.71,92,97,1.86,overcast clouds
5,Morant Bay,JM,17.8815,-76.4093,78.8,69,20,5.75,few clouds
6,Lewistown,US,40.5992,-77.5714,46.99,95,100,2.24,moderate rain
7,Bluff,NZ,-46.6,168.3333,44.01,80,87,4.0,light rain
8,Hobart,AU,-42.8794,147.3294,63.0,44,75,20.71,moderate rain
9,College,US,64.8569,-147.8028,57.2,37,1,3.44,clear sky
10,Beni Mazar,EG,28.4962,30.8029,76.33,19,0,0.85,clear sky
11,Butaritari,KI,3.0707,172.7902,83.34,73,79,8.81,broken clouds
12,Hazorasp,UZ,41.3194,61.0742,68.0,28,0,18.41,clear sky
13,Qaanaaq,GL,77.484,-69.3632,21.52,69,56,8.19,broken clouds
14,Port Elizabeth,ZA,-33.918,25.5701,55.4,100,90,9.22,fog
15,Svarstad,NO,59.399,9.9698,33.01,55,1,9.22,clear sky
16,Atuona,PF,-9.8,-139.0333,80.31,77,39,13.98,scattered clouds
17,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,86,1,9.22,clear sky
18,Auki,SB,-8.7676,160.7034,82.67,79,64,4.27,broken clouds
19,Busselton,AU,-33.65,115.3333,75.99,58,1,3.0,clear sky
20,Moerai,PF,-22.4333,-151.3333,75.92,69,47,11.43,scattered clouds
21,Nioro,GM,13.35,-15.75,72.28,44,9,7.76,clear sky
22,Saskylakh,RU,71.9167,114.0833,33.69,94,97,11.72,overcast clouds
23,Kodiak,US,57.79,-152.4072,39.2,87,90,10.36,overcast clouds
24,Garissa,KE,-0.4536,39.6401,80.11,74,92,8.52,overcast clouds
25,Hamilton,US,39.1834,-84.5333,50.0,100,90,3.74,mist
26,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,92,6.53,overcast clouds
27,Gudur,IN,14.1333,79.85,91.4,58,40,4.61,haze
28,Coihaique,CL,-45.5752,-72.0662,45.88,95,100,5.73,overcast clouds
29,Port Blair,IN,11.6667,92.75,87.66,59,41,1.45,scattered clouds
30,Yulara,AU,-25.2406,130.9889,77.0,20,0,12.66,clear sky
31,Waingapu,ID,-9.6567,120.2641,85.44,64,20,12.64,few clouds
32,Avera,US,33.194,-82.5271,62.6,98,90,5.75,overcast clouds
33,Cherskiy,RU,68.75,161.3,22.1,81,100,12.41,overcast clouds
34,Punta Arenas,CL,-53.15,-70.9167,39.2,81,0,5.75,clear sky
35,Cortez,US,37.3489,-108.5859,54.0,31,1,5.75,clear sky
36,Dutlwe,BW,-23.9833,23.9,60.73,32,0,4.68,clear sky
37,Ojuelos De Jalisco,MX,21.8667,-101.5833,59.67,57,100,13.06,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,6.8,56,20,6.91,few clouds
39,Lompoc,US,34.6391,-120.4579,48.2,93,100,4.79,overcast clouds
40,Floro,NO,61.5996,5.0328,39.2,56,90,5.75,overcast clouds
41,Alibag,IN,18.6411,72.8792,91.4,55,20,8.05,smoke
42,Hermanus,ZA,-34.4187,19.2345,61.0,83,100,1.99,overcast clouds
43,Biak,ID,-0.9131,122.8766,83.79,65,69,5.73,broken clouds
44,Samarai,PG,-10.6167,150.6667,84.34,73,40,16.4,scattered clouds
45,Faanui,PF,-16.4833,-151.75,80.24,68,100,5.28,overcast clouds
46,Mataura,NZ,-46.1927,168.8643,44.01,80,38,4.0,scattered clouds
47,Ponta Do Sol,PT,32.6667,-17.1,59.0,88,93,7.0,overcast clouds
48,Ancud,CL,-41.8697,-73.8203,54.0,100,90,2.3,fog
49,Ayagoz,KZ,47.9714,80.4392,46.31,25,100,11.14,overcast clouds
50,Kavieng,PG,-2.5744,150.7967,85.15,69,21,10.56,few clouds
51,Sur,OM,22.5667,59.5289,90.95,33,0,2.95,clear sky
52,Coquimbo,CL,-29.9533,-71.3436,53.6,82,0,8.05,clear sky
53,Albany,US,42.6001,-73.9662,53.01,49,100,2.17,overcast clouds
54,Dikson,RU,73.5069,80.5464,13.98,88,45,10.29,scattered clouds
55,Chuy,UY,-33.6971,-53.4616,63.52,85,96,12.44,overcast clouds
56,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,100,3.44,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,63.0,88,0,6.91,clear sky
58,Chokurdakh,RU,70.6333,147.9167,15.73,84,6,9.22,clear sky
59,Upernavik,GL,72.7868,-56.1549,22.59,78,9,7.99,clear sky
60,Carnarvon,AU,-24.8667,113.6333,84.2,45,2,9.22,clear sky
61,Derzhavinsk,KZ,51.1,66.3167,47.66,84,94,14.45,overcast clouds
62,Mbanza-Ngungu,CD,-5.25,14.8667,66.43,96,98,1.03,overcast clouds
63,Hilo,US,19.7297,-155.09,73.4,78,90,8.05,moderate rain
64,Holly Hill,US,29.2436,-81.0376,75.99,73,40,5.75,scattered clouds
65,Torbay,CA,47.6666,-52.7314,37.0,87,1,16.11,clear sky
66,Tilichiki,RU,60.4667,166.1,29.95,97,100,7.81,snow
67,Otane,NZ,-39.8833,176.6333,64.99,42,3,3.0,clear sky
68,Karpogory,RU,64.0019,44.4451,47.97,67,12,9.15,few clouds
69,Valparaiso,CL,-33.0393,-71.6273,55.99,76,0,6.96,clear sky
70,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,35.4,63,22,7.54,few clouds
71,Talcahuano,CL,-36.7167,-73.1167,50.0,93,0,2.3,mist
72,Half Moon Bay,US,37.4636,-122.4286,55.4,93,90,5.75,mist
73,Jamestown,US,42.097,-79.2353,50.0,57,90,4.61,overcast clouds
74,Namatanai,PG,-3.6667,152.4333,83.77,71,64,8.57,broken clouds
75,Kharp,RU,66.8014,65.8081,30.79,94,100,5.44,overcast clouds
76,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.0,94,20,4.61,light rain
77,Saldanha,ZA,-33.0117,17.9442,59.0,88,100,3.44,overcast clouds
78,San Cristobal,VE,7.7669,-72.225,77.0,94,40,2.3,fog
79,Deputatskiy,RU,69.3,139.9,22.75,82,100,13.27,overcast clouds
80,Benghazi,LY,32.1167,20.0667,63.16,87,99,16.98,overcast clouds
81,Saint-Augustin,CA,51.226,-58.6502,34.0,79,33,8.66,scattered clouds
82,Thompson,CA,55.7435,-97.8558,23.0,68,75,2.3,broken clouds
83,Talnakh,RU,69.4865,88.3972,15.35,83,99,13.02,overcast clouds
84,Avarua,CK,-21.2078,-159.775,80.6,78,75,13.8,light rain
85,Port Alfred,ZA,-33.5906,26.891,63.82,68,49,9.31,scattered clouds
